weibo_id,any_paper,max_confidence,total_links,user_id,user_authentication,retweet_count,comment_count,like_count
496,True,high,1,3710258141.0,金V,0,0,0
497,True,high,1,5329434101.0,蓝V,0,0,0
498,True,high,1,5329434101.0,蓝V,0,0,0
499,True,high,1,3889212468.0,普通用户,0,0,0
500,True,high,1,5501415626.0,蓝V,0,0,0
501,True,high,1,5501415626.0,蓝V,0,0,0
502,True,high,1,5629095345.0,蓝V,0,0,0
503,True,high,1,5629095345.0,蓝V,0,0,0
504,True,high,1,5629095345.0,蓝V,0,0,0
505,True,high,1,1870858943.0,蓝V,0,0,0
506,True,high,1,7006367380.0,蓝V,0,0,0
507,True,high,1,2345219597.0,蓝V,0,0,0
508,True,medium,1,6347862377.0,普通用户,0,0,0
509,True,high,1,1764919567.0,红V,0,0,0
510,True,high,1,6586581066.0,黄V,0,0,0
511,True,high,1,2736122815.0,蓝V,0,0,0
512,True,high,1,6086578527.0,蓝V,0,0,0
513,True,high,1,3097251601.0,蓝V,0,0,0
514,True,high,1,6684374689.0,蓝V,0,0,0
515,True,high,1,2345219597.0,蓝V,0,0,0
516,True,high,1,3996876140.0,蓝V,0,0,0
517,True,high,1,3996876140.0,蓝V,0,0,0
518,True,high,1,3097251601.0,蓝V,0,0,0
519,True,high,1,1730177302.0,蓝V,0,0,0
520,True,high,1,1764919567.0,红V,0,0,0
521,True,high,1,3097251601.0,蓝V,0,0,0
522,True,high,1,2345219597.0,蓝V,0,0,0
523,True,high,4,5329434101.0,蓝V,0,0,0
524,True,high,1,5228633483.0,蓝V,0,0,0
525,True,high,1,6684374689.0,蓝V,0,0,0
526,True,high,1,1990821721.0,金V,0,0,0
527,True,medium,1,3097251601.0,蓝V,0,0,0
528,True,high,1,3097251601.0,蓝V,0,0,0
529,True,high,1,1730177302.0,蓝V,0,0,0
